Rank,SEASON,Player,Team,Pos,Round,Pick,STICK %,NBA_YOS
1,2015,Kris Dunn,Providence,G,1,5,95.99,10
2,2015,Pascal Siakam,New Mexico State,G,1,27,95.01,10
3,2015,Dejounte Murray,Washington,G,1,29,94.26,8
4,2015,Jamal Murray,Kentucky,G,1,7,94.16,9
5,2015,Denzel Valentine,Michigan State,G,1,14,93.07,5
6,2015,Jaylen Brown,California,F,1,3,92.77,10
7,2015,Jakob Poeltl,Utah,F,1,9,92.54,10
8,2015,Ben Simmons,Louisiana State,G,1,1,92.34,7
9,2015,Marquese Chriss,Washington,F,1,8,92.22,6
10,2015,Malik Beasley,Florida State,G,1,19,92.01,9
11,2015,Brandon Ingram,Duke,F,1,2,88.42,10
12,2015,Patrick McCaw,UNLV,G,2,38,87.24,5
13,2015,Damion Lee,Louisville,G,0,0,84.47,7
14,2015,Domantas Sabonis,Gonzaga,G,1,11,84.06,10
15,2015,Buddy Hield,Oklahoma,G,1,6,83.53,10
16,2015,Dorian Finney-Smith,Florida,F,0,0,82.21,9
17,2015,Tyrone Wallace,California,G,2,60,81.67,4
18,2015,Taurean Prince,Baylor,F,1,12,80.49,10
19,2015,Ryan Anderson,Arizona,F,0,0,79.21,4
20,2015,Malcolm Brogdon,Virginia,G,2,36,75.98,9
21,2015,Derrick Jones Jr.,UNLV,F,0,0,75.63,10
22,2015,Jarrod Uthoff,Iowa,G,0,0,74.97,2
23,2015,Bryn Forbes,Michigan State,G,0,0,67.69,7
24,2015,Alex Caruso,Texas A&M,G,0,0,61.64,9
25,2015,Perry Ellis,Kansas,G,0,0,61.31,0
26,2015,DeAndre Bembry,Saint Joseph's,F,1,21,60.14,0
27,2015,Wayne Selden Jr.,Kansas,G,0,0,59.87,0
28,2015,Caris LeVert,Michigan,G,1,20,59.05,10
29,2015,Jaysean Paige,West Virginia,G,0,0,58.2,1
30,2015,Fred VanVleet,Wichita State,G,0,0,57.34,9
31,2015,Elgin Cook,Oregon,G,0,0,56.79,0
32,2015,Yogi Ferrell,Indiana,G,0,0,56.48,5
33,2015,Brice Johnson,North Carolina,F,1,25,56.41,2
34,2015,Kyle Collinsworth,Brigham Young,G,0,0,56.4,1
35,2015,Kyle Wiltjer,Gonzaga,F,0,0,56.05,1
36,2015,Troy Williams,Indiana,F,0,0,55.18,3
37,2015,Michael Gbinije,Syracuse,F,2,49,52.64,1
38,2015,Shonn Miller,Connecticut,F,0,0,50.82,0
39,2015,Ben Bentil,Providence,G,2,51,48.4,1
40,2015,Danuel House,Texas A&M,G,0,0,48.22,0
