Rank,SEASON,Player,Team,Pos,STICK %,NBA_YOS
1,2015,Kris Dunn,Providence,G,97.65,10
2,2015,Jakob Poeltl,Utah,F,96.48,10
3,2015,Jamal Murray,Kentucky,G,94.98,9
4,2015,Jaylen Brown,California,F,94.4,10
5,2015,Buddy Hield,Oklahoma,G,93.7,10
6,2015,Dejounte Murray,Washington,G,93.45,8
7,2015,Alex Caruso,Texas A&M,G,92.87,9
8,2015,Brandon Ingram,Duke,F,92.39,10
9,2015,Ben Simmons,Louisiana State,G,87.94,7
10,2015,Pascal Siakam,New Mexico State,G,87.29,10
11,2015,Malcolm Brogdon,Virginia,G,82.03,9
12,2015,Domantas Sabonis,Gonzaga,G,77.24,10
13,2015,Kyle Collinsworth,Brigham Young,G,72.17,1
14,2015,Michael Gbinije,Syracuse,F,66.42,1
15,2015,Jarrod Uthoff,Iowa,G,63.5,2
16,2015,Ben Bentil,Providence,G,62.91,1
17,2015,Malik Beasley,Florida State,G,58.04,9
18,2015,Retin Obasohan,Alabama,G,54.34,0
19,2015,DeAndre Bembry,Saint Joseph's,F,53.16,0
20,2015,Robert Carter,Maryland,F,50.85,0
21,2015,Isaiah Whitehead,Seton Hall,G,50.2,2
22,2015,Wayne Selden Jr.,Kansas,G,49.79,0
23,2015,Dorian Finney-Smith,Florida,F,47.88,9
24,2015,Perry Ellis,Kansas,G,47.52,0
25,2015,Brice Johnson,North Carolina,F,45.72,2
26,2015,Tyler Ulis,Kentucky,G,45.26,3
27,2015,Patrick McCaw,UNLV,G,43.59,5
28,2015,Kyle Wiltjer,Gonzaga,F,43.45,1
29,2015,Fred VanVleet,Wichita State,G,42.14,9
30,2015,Marcus Georges-Hunt,Georgia Tech,G,39.85,2
31,2015,Jameel Warney,Stony Brook,F,39.02,1
32,2015,Caris LeVert,Michigan,G,35.75,10
33,2015,Gabe York,Arizona,G,35.08,2
34,2015,Wade Baldwin IV,Vanderbilt,G,33.94,3
35,2015,Troy Williams,Indiana,F,32.75,3
36,2015,Kevin Punter,Tennessee,F,32.51,0
37,2015,Josh Scott,Colorado,F,30.91,0
38,2015,Damion Lee,Louisville,G,29.44,7
39,2015,Jaysean Paige,West Virginia,G,29.38,1
40,2015,Kay Felder,Oakland,G,29.26,2
41,2015,A.J. Hammons,Purdue,C,27.76,0
42,2015,Matt Costello,Michigan State,F,27.33,1
43,2015,Mark Tollefsen,Arizona,F,26.5,0
44,2015,Yogi Ferrell,Indiana,G,25.9,5
45,2015,Demetrius Jackson,Notre Dame,G,25.04,3
46,2015,Isaiah Cousins,Oklahoma,G,24.73,0
47,2015,Diamond Stone,Maryland,C,24.54,1
48,2015,Marquese Chriss,Washington,F,22.76,6
49,2015,Denzel Valentine,Michigan State,G,22.17,5
50,2015,Thomas Walkup,Stephen F. Austin,G,21.14,0
1,2016,Jayson Tatum,Duke,F,97.4,8
2,2016,Zach Collins,Gonzaga,F,94.36,7
3,2016,Lonzo Ball,UCLA,G,93.19,7
4,2016,Lauri Markkanen,Arizona,F,92.96,9
5,2016,Jarrett Allen,Texas,F,92.81,9
6,2016,De'Anthony Melton,Southern California,G,92.76,7
7,2016,Donovan Mitchell,Louisville,G,91.31,9
8,2016,De'Aaron Fox,Kentucky,G,90.73,8
9,2016,Eric Mika,Brigham Young,G,90.02,1
10,2016,Josh Jackson,Kansas,G,87.85,5
11,2016,Malik Monk,Kentucky,G,87.59,9
12,2016,OG Anunoby,Indiana,F,87.45,9
13,2016,Cameron Oliver,Nevada,G,87.32,2
14,2016,Dillon Brooks,Oregon,F,87.26,9
15,2016,Bam Adebayo,Kentucky,F,86.27,9
16,2016,Josh Hart,Villanova,G,85.14,9
17,2016,Luke Kennard,Duke,G,84.86,9
18,2016,Derrick White,Colorado,G,84.7,9
19,2016,Derrick Walton Jr.,Michigan,F,84.64,3
20,2016,Dennis Smith Jr.,NC State,G,83.47,7
21,2016,Markelle Fultz,Washington,G,81.6,8
22,2016,Kyle Kuzma,Utah,F,81.01,9
23,2016,John Collins,Wake Forest,G,78.96,9
24,2016,Devin Robinson,Florida,F,75.67,2
25,2016,Alec Peters,Valparaiso,G,61.08,1
26,2016,Jamel Artis,Pittsburgh,G,59.43,1
27,2016,Luke Kornet,Vanderbilt,F,57.06,9
28,2016,Kennedy Meeks,North Carolina,F,56.73,0
29,2016,Michael Young,Pittsburgh,G,50.04,0
30,2016,Jawun Evans,Oklahoma State,G,46.32,2
31,2016,Tyler Lydon,Syracuse,F,45.43,2
32,2016,Melo Trimble,Maryland,G,45.14,0
33,2016,Frank Mason,Kansas,G,43.87,0
34,2016,Isaiah Briscoe,Kentucky,G,37.64,1
35,2016,JeQuan Lewis,VCU,G,33.39,0
36,2016,Zak Showalter,Wisconsin,G,33.17,0
37,2016,TJ Leaf,UCLA,F,32.82,0
38,2016,Sterling Brown,SMU,G,31.98,6
39,2016,Nigel Williams-Goss,Gonzaga,G,30.4,1
40,2016,Justin Jackson,North Carolina,G,30.23,0
41,2016,Edmond Sumner,Xavier,G,29.0,5
42,2016,Davon Reed,Miami (FL),G,28.32,4
43,2016,Monte Morris,Iowa State,G,28.15,0
44,2016,London Perrantes,Virginia,G,27.39,1
45,2016,Semi Ojeleye,SMU,G,25.7,5
46,2016,Frank Jackson,Duke,G,24.4,5
47,2016,Tony Bradley,North Carolina,F,24.39,8
48,2016,Lorenzo Bonam,Utah,G,24.05,0
49,2016,D.J. Wilson,Michigan,F,21.22,6
50,2016,Jeremy Senglin,Weber State,G,21.21,0
1,2017,Shai Gilgeous-Alexander,Kentucky,G,96.49,8
