Season_Year,Player,Team,Pred_Stick_Proba,Stick_NBA
2015,Malcolm Brogdon,Virginia,0.9704,1
2015,Buddy Hield,Oklahoma,0.9656,1
2015,Jamal Murray,Kentucky,0.9478,1
2015,Jakob Poeltl,Utah,0.9399,1
2015,Dejounte Murray,Washington,0.9135,1
2015,Kris Dunn,Providence,0.9113,1
2015,Caris LeVert,Michigan,0.9058,1
2015,Jaylen Brown,California,0.901,1
2015,Ben Simmons,Louisiana State,0.8524,1
2015,Brandon Ingram,Duke,0.8367,1
2015,Pascal Siakam,New Mexico State,0.8345,1
2015,Domantas Sabonis,Gonzaga,0.8257,1
2015,Alex Caruso,Texas A&M,0.8008,1
2015,Gabe York,Arizona,0.7672,1
2015,Fred VanVleet,Wichita State,0.6789,1
2015,Troy Williams,Indiana,0.3057,0
2015,Wade Baldwin IV,Vanderbilt,0.2904,0
2015,Kyle Collinsworth,Brigham Young,0.2653,0
2015,Denzel Valentine,Michigan State,0.2315,0
2015,Patrick McCaw,UNLV,0.2047,0
2015,Jarrod Uthoff,Iowa,0.1914,0
2015,Brice Johnson,North Carolina,0.1859,0
2015,Georges Niang,Iowa State,0.1812,0
2015,Dorian Finney-Smith,Florida,0.1553,0
2015,Gary Payton II,Oregon State,0.1502,0
2015,Jameel Warney,Stony Brook,0.149,0
2015,Michael Gbinije,Syracuse,0.1407,0
2015,Isaiah Whitehead,Seton Hall,0.1389,0
2015,Daniel Hamilton,Connecticut,0.1368,0
2015,Malachi Richardson,Syracuse,0.1323,0
2016,Lonzo Ball,UCLA,0.9943,1
2016,Derrick White,Colorado,0.9636,1
2016,Markelle Fultz,Washington,0.963,1
2016,Dennis Smith Jr.,NC State,0.9582,1
2016,Jayson Tatum,Duke,0.9551,1
2016,Luke Kennard,Duke,0.95,1
2016,Malik Monk,Kentucky,0.9458,1
2016,Josh Jackson,Kansas,0.9433,1
2016,Zach Collins,Gonzaga,0.9426,1
2016,De'Anthony Melton,Southern California,0.9373,1
2016,De'Aaron Fox,Kentucky,0.9368,1
2016,Josh Hart,Villanova,0.9347,1
2016,OG Anunoby,Indiana,0.9272,1
2016,Lauri Markkanen,Arizona,0.9152,1
2016,Jarrett Allen,Texas,0.9023,1
2016,Derrick Walton Jr.,Michigan,0.8999,1
2016,Bam Adebayo,Kentucky,0.897,1
2016,Eric Mika,Brigham Young,0.877,1
2016,Cameron Oliver,Nevada,0.7928,1
2016,Donovan Mitchell,Louisville,0.7793,1
2016,John Collins,Wake Forest,0.7618,1
2016,Luke Kornet,Vanderbilt,0.7487,1
2016,Kyle Kuzma,Utah,0.7246,1
2016,Devin Robinson,Florida,0.6794,1
2016,Dillon Brooks,Oregon,0.6301,1
2016,Jonathan Isaac,Florida State,0.374,0
2016,Nigel Williams-Goss,Gonzaga,0.24,0
2016,Justin Patton,Creighton,0.2161,0
2016,Semi Ojeleye,SMU,0.2143,0
2016,Isaiah Briscoe,Kentucky,0.2029,0
2017,Marvin Bagley III,Duke,0.9813,1
2017,Shai Gilgeous-Alexander,Kentucky,0.9718,1
2017,Jaren Jackson Jr.,Michigan State,0.9523,1
2017,Wendell Carter Jr.,Duke,0.9421,1
2017,Trae Young,Oklahoma,0.9343,1
2017,Kevin Huerter,Maryland,0.9336,1
2017,Gary Trent Jr.,Duke,0.9205,1
2017,Mikal Bridges,Villanova,0.9155,1
2017,Khyri Thomas,Creighton,0.9071,1
2017,Miles Bridges,Michigan State,0.9069,1
2017,Deandre Ayton,Arizona,0.8976,1
2017,Donte DiVincenzo,Villanova,0.8862,1
2017,Cameron Johnson,College of Charleston,0.8449,1
2017,Elijah Bryant,Brigham Young,0.834,1
2017,Jalen Brunson,Villanova,0.8165,1
2017,Michael Porter Jr.,Missouri,0.7922,1
2017,Bruce Brown,Miami (FL),0.7865,1
2017,Kendrick Nunn,Oakland,0.7727,1
2017,Grayson Allen,Duke,0.742,1
2017,Devonte' Graham,Kansas,0.7378,1
2017,Collin Sexton,Alabama,0.6715,1
2017,Jemerrio Jones,New Mexico State,0.5985,1
2017,Zhaire Smith,Texas Tech,0.2998,0
2017,Jontay Porter,Missouri,0.2553,0
2017,Jacob Evans,Cincinnati,0.2361,0
2017,Malik Newman,Kansas,0.2239,0
2017,Rawle Alkins,Arizona,0.2206,0
2017,Shake Milton,SMU,0.1856,0
2017,Josh Okogie,Georgia Tech,0.1512,0
2017,Jevon Carter,West Virginia,0.1351,0
2018,Kevin Porter Jr.,Southern California,0.967,1
2018,Tyler Herro,Kentucky,0.9617,1
2018,Jaylen Hoard,Wake Forest,0.9535,1
2018,Naz Reid,Louisiana State,0.9443,1
2018,Coby White,North Carolina,0.9354,1
2018,De'Andre Hunter,Virginia,0.9334,1
2018,Zion Williamson,Duke,0.9333,1
2018,Luguentz Dort,Arizona State,0.932,1
2018,Nickeil Alexander-Walker,Virginia Tech,0.9292,1
2018,Darius Garland,Vanderbilt,0.9235,1
2018,Rui Hachimura,Gonzaga,0.8781,1
2018,Louis King,Oregon,0.8636,1
2018,Daniel Gafford,Arkansas,0.8629,1
2018,Brandon Clarke,Gonzaga,0.8599,1
2018,Jordan Poole,Michigan,0.8549,1
2018,Keldon Johnson,Kentucky,0.8548,1
2018,Ja Morant,Murray State,0.8141,1
2018,Romeo Langford,Indiana,0.4221,0
2018,Talen Horton-Tucker,Iowa State,0.3718,0
2018,Ignas Brazdeikis,Michigan,0.3708,0
2018,Cam Reddish,Duke,0.2338,0
2018,Nassir Little,North Carolina,0.2241,0
2018,Chuma Okeke,Auburn,0.2152,0
2018,Jarrett Culver,Texas Tech,0.2121,0
2018,Jaxson Hayes,Texas,0.2029,0
2018,Shamorie Ponds,St. John's (NY),0.1906,0
2018,Bruno Fernando,Maryland,0.1881,0
2018,Oshae Brissett,Syracuse,0.146,0
2018,Ky Bowman,Boston College,0.14,0
2018,Zach Norvell Jr.,Gonzaga,0.1334,0
2019,Tyrese Haliburton,Iowa State,0.9518,1
2019,Tyrese Maxey,Kentucky,0.9364,1
2019,Cole Anthony,North Carolina,0.9349,1
2019,Jaden McDaniels,Washington,0.9294,1
2019,Patrick Williams,Florida State,0.9282,1
2019,Precious Achiuwa,Memphis,0.9264,1
2019,Tre Jones,Duke,0.9263,1
2019,Onyeka Okongwu,Southern California,0.9224,1
2019,Devin Vassell,Florida State,0.9088,1
2019,Immanuel Quickley,Kentucky,0.892,1
2019,Saddiq Bey,Villanova,0.8754,1
2019,Jalen Johnson,Tennessee,0.8438,1
2019,Isaiah Stewart,Washington,0.8315,1
2019,Anthony Edwards,Georgia,0.8135,1
2019,Obi Toppin,Dayton,0.8085,1
2019,Desmond Bane,TCU,0.765,1
2019,Payton Pritchard,Oregon,0.7506,1
2019,Zavier Simpson,Michigan,0.7393,1
2019,Zeke Nnaji,Arizona,0.4729,0
2019,Josh Green,Arizona,0.3992,0
2019,Cassius Stanley,Duke,0.3814,0
2019,Jahmi'us Ramsey,Texas Tech,0.3214,0
2019,Vernon Carey Jr.,Duke,0.2916,0
2019,Cameron McGriff,Oklahoma State,0.2902,1
2019,Tyrell Terry,Stanford,0.2528,0
2019,Isaac Okoro,Auburn,0.2027,0
2019,Skylar Mays,Louisiana State,0.1741,0
2019,Ashton Hagans,Kentucky,0.169,0
2019,Naji Marshall,Xavier,0.1521,0
2019,Ty-Shon Alexander,Creighton,0.1479,0
