Season_Year,Player,Team,Pred_Stick_Proba,NBA_YOS
2015,Jamal Murray,Kentucky,0.9502,9
2015,Buddy Hield,Oklahoma,0.9308,10
2015,Jaylen Brown,California,0.9251,10
2015,Brandon Ingram,Duke,0.9026,10
2015,Kris Dunn,Providence,0.8797,10
2015,Dejounte Murray,Washington,0.8625,8
2015,Pascal Siakam,New Mexico State,0.8616,10
2015,Jakob Poeltl,Utah,0.8342,10
2015,Caris LeVert,Michigan,0.8151,10
2015,Fred VanVleet,Wichita State,0.8123,9
2015,Malcolm Brogdon,Virginia,0.8107,9
2015,Domantas Sabonis,Gonzaga,0.7672,10
2015,Ben Simmons,Louisiana State,0.7567,7
2015,Kyle Collinsworth,Brigham Young,0.7284,1
2015,Retin Obasohan,Alabama,0.6635,0
2015,Brice Johnson,North Carolina,0.6564,2
2015,Austin Montgomery,Utah,0.6435,0
2015,Tyler Ulis,Kentucky,0.5926,3
2015,Michael Gbinije,Syracuse,0.5775,1
2015,Jarrod Uthoff,Iowa,0.5544,2
2015,Malik Beasley,Florida State,0.5289,9
2015,Isaiah Whitehead,Seton Hall,0.5134,2
2015,Troy Williams,Indiana,0.5069,3
2015,Kyle Wiltjer,Gonzaga,0.4948,1
2015,Alex Caruso,Texas A&M,0.4938,9
2015,Brannen Greene,Kansas,0.4697,0
2015,DeAndre Bembry,Saint Joseph's,0.4364,0
2015,Yogi Ferrell,Indiana,0.4202,5
2015,Jonathan Holton,West Virginia,0.4195,0
2015,Dorian Finney-Smith,Florida,0.4188,9
2016,Jayson Tatum,Duke,0.9596,8
2016,De'Anthony Melton,Southern California,0.9589,7
2016,Markelle Fultz,Washington,0.9386,8
2016,Derrick White,Colorado,0.9348,9
2016,Lauri Markkanen,Arizona,0.9321,9
2016,Lonzo Ball,UCLA,0.9246,7
2016,Jarrett Allen,Texas,0.9043,9
2016,Derrick Walton Jr.,Michigan,0.8686,3
2016,Josh Hart,Villanova,0.868,9
2016,Donovan Mitchell,Louisville,0.8595,9
2016,John Collins,Wake Forest,0.845,9
2016,Zach Collins,Gonzaga,0.843,7
2016,Malik Monk,Kentucky,0.8362,9
2016,Luke Kennard,Duke,0.8303,9
2016,Eric Mika,Brigham Young,0.8277,1
2016,Dennis Smith Jr.,NC State,0.8254,7
2016,Dillon Brooks,Oregon,0.8044,9
2016,Bam Adebayo,Kentucky,0.7906,9
2016,OG Anunoby,Indiana,0.7408,9
2016,Kyle Kuzma,Utah,0.729,9
2016,Josh Jackson,Kansas,0.7217,5
2016,Cameron Oliver,Nevada,0.7143,2
2016,Alec Peters,Valparaiso,0.702,1
2016,Andrew White III,Syracuse,0.6909,1
2016,De'Aaron Fox,Kentucky,0.6626,8
2016,Frank Mason,Kansas,0.6099,0
2016,Isaiah Briscoe,Kentucky,0.5415,1
2016,Jonathan Isaac,Florida State,0.5304,7
2016,Ivan Rabb,California,0.5207,2
2016,Jamel Artis,Pittsburgh,0.5143,1
2017,Bruce Brown,Miami (FL),0.9747,8
2017,Shai Gilgeous-Alexander,Kentucky,0.9688,8
2017,Wendell Carter Jr.,Duke,0.9588,8
2017,Marvin Bagley III,Duke,0.9466,8
2017,Michael Porter Jr.,Missouri,0.9198,7
2017,Deandre Ayton,Arizona,0.8952,8
2017,Zhaire Smith,Texas Tech,0.8906,2
2017,Miles Bridges,Michigan State,0.8545,7
2017,Jaren Jackson Jr.,Michigan State,0.8513,8
2017,Kevin Huerter,Maryland,0.8213,8
2017,Cameron Johnson,College of Charleston,0.8209,0
2017,Jalen Brunson,Villanova,0.8149,8
2017,Gary Trent Jr.,Duke,0.7887,8
2017,Devonte' Graham,Kansas,0.75,6
2017,Donte DiVincenzo,Villanova,0.7351,8
2017,Trae Young,Oklahoma,0.7223,8
2017,Kendrick Nunn,Oakland,0.7098,3
2017,Khyri Thomas,Creighton,0.7082,3
2017,Jemerrio Jones,New Mexico State,0.6486,2
2017,Elijah Bryant,Brigham Young,0.6259,1
2017,Troy Brown,Oregon,0.61,0
2017,Tony Carr,Penn State,0.6089,0
2017,Justin Jackson,Maryland,0.6036,7
2017,Mikal Bridges,Villanova,0.6026,8
2017,Lonnie Walker,Miami (FL),0.5898,0
2017,Landry Shamet,Wichita State,0.5475,8
2017,Vladimir Brodziansky,TCU,0.5045,0
2017,Terry Larrier,Connecticut,0.495,0
2017,Grayson Allen,Duke,0.4863,8
2017,Gary Clark,Cincinnati,0.4804,4
2018,Darius Garland,Vanderbilt,0.9485,7
2018,Ignas Brazdeikis,Michigan,0.9292,3
2018,Coby White,North Carolina,0.9286,6
2018,Nickeil Alexander-Walker,Virginia Tech,0.9241,7
2018,De'Andre Hunter,Virginia,0.9127,7
2018,Daniel Gafford,Arkansas,0.9077,7
2018,Kevin Porter Jr.,Southern California,0.9073,6
2018,Louis King,Oregon,0.8997,4
2018,Jalen McDaniels,San Diego State,0.8737,6
2018,Tremont Waters,Louisiana State,0.8676,3
2018,Luguentz Dort,Arizona State,0.8584,7
2018,Tyler Herro,Kentucky,0.8467,6
2018,Ja Morant,Murray State,0.8302,7
2018,Jaylen Hoard,Wake Forest,0.8139,3
2018,Naz Reid,Louisiana State,0.8026,7
2018,Jordan Poole,Michigan,0.7856,7
2018,Rui Hachimura,Gonzaga,0.7819,7
2018,R.J. Barrett,Duke,0.7593,0
2018,Zion Williamson,Duke,0.7561,6
2018,Jarrett Culver,Texas Tech,0.7556,4
2018,Anthony Lawrence Jr.,Miami (FL),0.7331,0
2018,Dean Wade,Kansas State,0.6983,7
2018,Keldon Johnson,Kentucky,0.683,7
2018,Justin Robinson,Virginia Tech,0.6766,0
2018,Devin Thomas,Indiana State,0.6159,0
2018,Marial Shayok,Iowa State,0.5995,1
2018,Romeo Langford,Indiana,0.5976,4
2018,Mfiondu Kabengele,Florida State,0.5713,3
2018,Ethan Happ,Wisconsin,0.5686,0
2018,Talen Horton-Tucker,Iowa State,0.561,6
2019,Cole Anthony,North Carolina,0.9551,6
2019,Tre Jones,Duke,0.9477,6
2019,Onyeka Okongwu,Southern California,0.911,6
2019,Tyrese Haliburton,Iowa State,0.876,5
2019,Ashton Hagans,Kentucky,0.8644,2
2019,Patrick Williams,Florida State,0.8421,6
2019,Jaden McDaniels,Washington,0.8358,6
2019,Precious Achiuwa,Memphis,0.7966,6
2019,Tyrese Maxey,Kentucky,0.7951,6
2019,Payton Pritchard,Oregon,0.7838,6
2019,Saddiq Bey,Villanova,0.782,5
2019,Devin Vassell,Florida State,0.7709,6
2019,Isaiah Stewart,Washington,0.7408,6
2019,Zavier Simpson,Michigan,0.7126,2
2019,Josh Green,Arizona,0.7026,5
2019,Obi Toppin,Dayton,0.6917,6
2019,Isaiah Joe,Arkansas,0.6835,6
2019,Cassius Stanley,Duke,0.6554,2
2019,Daniel Oturu,Minnesota,0.6484,2
2019,Desmond Bane,TCU,0.6267,6
2019,Anthony Edwards,Georgia,0.5646,6
2019,Isaac Okoro,Auburn,0.5523,6
2019,Yoeli Childs,Brigham Young,0.5338,0
2019,Jordan Nwora,Louisville,0.5238,4
2019,De'Ron Davis,Indiana,0.5184,0
2019,James Bolden,Alabama,0.4977,0
2019,Trent Forrest,Florida State,0.4907,4
2019,Vernon Carey Jr.,Duke,0.4875,3
2019,Tyrell Terry,Stanford,0.4701,2
2019,Brandon Robinson,North Carolina,0.4653,0
2020,Scottie Barnes,Florida State,0.9257,5
2020,Jalen Suggs,Gonzaga,0.9232,5
2020,Evan Mobley,Southern California,0.9165,5
2020,Cade Cunningham,Oklahoma State,0.884,5
2020,Quentin Grimes,Houston,0.8806,5
2020,Jaden Springer,Tennessee,0.8749,4
2020,Franz Wagner,Michigan,0.8616,5
2020,Ayo Dosunmu,Illinois,0.8548,5
2020,Trey Murphy III,Virginia,0.8326,5
2020,Davion Mitchell,Baylor,0.8182,5
2020,Raiquan Gray,Florida State,0.8066,2
2020,Cameron Johnson,Stephen F. Austin,0.7693,7
2020,Austin Reaves,Oklahoma,0.7669,5
2020,Charles Bassey,Western Kentucky,0.7542,5
2020,Aaron Wiggins,Maryland,0.7384,5
2020,Neemias Queta,Utah State,0.6945,5
2020,Miles McBride,West Virginia,0.6916,5
2020,Santi Aldama,Loyola (MD),0.6822,5
2020,James Bouknight,Connecticut,0.6597,3
2020,Sandro Mamukelashvili,Seton Hall,0.612,5
2020,Nah'Shon Hyland,VCU,0.6106,0
2020,Moses Moody,Arkansas,0.5852,5
2020,Justin Champagnie,Pittsburgh,0.5659,5
2020,Tre Mann,Florida,0.5448,5
2020,Joey Madimba,Tarleton State,0.5222,0
2020,Jonathan Alexandre,Oral Roberts,0.4892,0
2020,D.J. Carton,Marquette,0.4807,2
2020,Matt Haarms,Brigham Young,0.4726,0
2020,Balsa Koprivica,Florida State,0.4707,0
2020,MaCio Teague,Baylor,0.4679,0
2021,Jaden Ivey,Purdue,0.8939,3
2021,Bennedict Mathurin,Arizona,0.8859,4
2021,Paolo Banchero,Duke,0.8626,4
2021,Chet Holmgren,Gonzaga,0.8541,3
2021,Christian Braun,Kansas,0.8395,4
2021,Jake Laravia,Wake Forest,0.831,4
2021,Jalen Williams,Santa Clara,0.7807,3
2021,Jalen Duren,Memphis,0.7446,4
2021,Walker Kessler,Auburn,0.7179,4
2021,Jeremy Sochan,Baylor,0.6908,4
2021,Marcus Bingham,Michigan State,0.659,0
2021,Jabari Smith,Auburn,0.6453,0
2021,Jacob Gilyard,Richmond,0.6108,2
2021,Mark Williams,Duke,0.5676,4
2021,Keegan Murray,Iowa,0.5467,3
2021,Ochai Agbaji,Kansas,0.5392,4
2021,Christian Koloko,Arizona,0.5255,3
2021,Orlando Robinson,Fresno State,0.5251,4
2021,Isaiah Mobley,Southern California,0.5134,3
2021,Alondes Williams,Wake Forest,0.5037,3
2021,E.J. Liddell,Ohio State,0.4937,3
2021,Efe Abogidi,Washington State,0.4926,0
2021,Kenneth Lofton Jr.,Louisiana Tech,0.4717,2
2021,Josh Minott,Memphis,0.4697,4
2021,Ron Harper Jr.,Rutgers,0.4563,4
2021,Tari Eason,Louisiana State,0.4526,4
2021,Nick Muszynski,Belmont,0.4364,0
2021,Kameron McGusty,Miami (FL),0.4169,0
2021,Anthony Polite,Florida State,0.4106,0
2021,Payton Willis,Minnesota,0.4081,0
2022,Brandon Miller,Alabama,0.9556,3
2022,Brandin Podziemski,Santa Clara,0.9064,3
2022,Cason Wallace,Kentucky,0.8659,3
2022,Jaime Jaquez Jr.,UCLA,0.8527,3
2022,Keyonte George,Baylor,0.8315,3
2022,Anthony Black,Arkansas,0.7461,3
2022,Timmy Allen,Texas,0.7447,1
2022,Marcus Bagley,Arizona State,0.7213,1
2022,Will Richard,Florida,0.6619,0
2022,Brice Sensabaugh,Ohio State,0.6598,3
2022,Toumani Camara,Dayton,0.6453,3
2022,Drew Timme,Gonzaga,0.6244,1
2022,Kobe Bufkin,Michigan,0.6203,2
2022,Jordan Hawkins,Connecticut,0.5784,3
2022,Azuolas Tubelis,Arizona,0.5349,0
2022,Trayce Jackson-Davis,Indiana,0.5024,3
2022,Adama Sanogo,Connecticut,0.4935,2
2022,Jalen Wilson,Kansas,0.4876,3
2022,Colby Jones,Xavier,0.4628,3
2022,Oscar Tshiebwe,Kentucky,0.4303,2
2022,Dereck Lively II,Duke,0.4255,3
2022,Zach Freemantle,Xavier,0.4242,0
2022,Kobe Brown,Missouri,0.4175,3
2022,Julian Phillips,Tennessee,0.3987,3
2022,Taylor Hendricks,UCF,0.3971,3
2022,Gradey Dick,Kansas,0.3947,3
2022,Matthew Mayer,Illinois,0.3924,0
2022,Matt Bradley,San Diego State,0.3921,0
2022,Noah Clowney,Alabama,0.3778,3
2022,Sir'Jabari Rice,Texas,0.3513,0
2023,Jaylon Tyson,California,0.9477,2
2023,Reece Beekman,Virginia,0.7859,1
2023,Kyle Filipowski,Duke,0.7809,2
2023,Jaylin Williams,Auburn,0.7766,4
2023,Kel'el Ware,Indiana,0.7674,2
2023,Jamal Shead,Houston,0.7219,2
2023,Donovan Clingan,Connecticut,0.7165,2
2023,Adem Bona,UCLA,0.6657,2
2023,Devin Carter,Providence,0.6503,2
2023,Isaiah Collier,Southern California,0.5823,2
2023,Reed Sheppard,Kentucky,0.5438,2
2023,Tristen Newton,Connecticut,0.5372,1
2023,Rienk Mast,Nebraska,0.5041,0
2023,Marquise Kennedy,Illinois–Chicago,0.4868,0
2023,Stephon Castle,Connecticut,0.4821,2
2023,N'Faly Dante,Oregon,0.4807,2
2023,Dylan Disu,Texas,0.4767,0
2023,Daniss Jenkins,St. John's (NY),0.459,2
2023,Jameer Nelson Jr.,TCU,0.4589,0
2023,Kalib Boone,UNLV,0.4501,0
2023,Kevin McCullar Jr.,Kansas,0.4458,1
2023,Donta Scott,Maryland,0.4388,0
2023,Spencer Jones,Stanford,0.4183,2
2023,Quinten Post,Boston College,0.4151,2
2023,Tolu Smith III,Mississippi State,0.4058,0
2023,Dusan Mahorcic,Duquesne,0.4012,0
2023,DaRon Holmes II,Dayton,0.3874,1
2023,Ja'Kobe Walter,Baylor,0.3865,2
2023,Yves Missi,Baylor,0.3671,2
2023,Armando Bacot,North Carolina,0.3507,0
