Season_Year,Player,Team,Pred_Stick_Proba,NBA_Ready_Score,NBA_YOS
2015,Jaylen Brown,California,0.9659,4.968,10
2015,Buddy Hield,Oklahoma,0.9656,5.697,10
2015,Dejounte Murray,Washington,0.9629,4.893,8
2015,Jamal Murray,Kentucky,0.9614,6.395,9
2015,Jakob Poeltl,Utah,0.94,6.356,10
2015,Ben Simmons,Louisiana State,0.9188,5.898,7
2015,Kris Dunn,Providence,0.9028,6.227,10
2015,Malcolm Brogdon,Virginia,0.8625,4.884,9
2015,Brandon Ingram,Duke,0.8417,4.984,10
2015,Pascal Siakam,New Mexico State,0.8221,4.566,10
2015,Domantas Sabonis,Gonzaga,0.7937,4.459,10
2015,Alex Caruso,Texas A&M,0.7251,4.409,9
2015,Kyle Wiltjer,Gonzaga,0.678,5.156,1
2015,Michael Gbinije,Syracuse,0.6734,4.945,1
2015,Dorian Finney-Smith,Florida,0.6593,4.618,9
2015,Marcus Georges-Hunt,Georgia Tech,0.6149,6.481,2
2015,DeAndre Bembry,Saint Joseph's,0.6062,4.165,0
2015,Malik Beasley,Florida State,0.5954,5.301,9
2015,Perry Ellis,Kansas,0.5877,5.189,0
2015,Kyle Collinsworth,Brigham Young,0.5872,5.544,1
2015,A.J. Hammons,Purdue,0.574,4.843,0
2015,Robert Carter,Maryland,0.5524,5.003,0
2015,Brice Johnson,North Carolina,0.5355,5.691,2
2015,Retin Obasohan,Alabama,0.5071,5.337,0
2015,Gabe York,Arizona,0.4697,3.332,2
2015,Isaiah Whitehead,Seton Hall,0.4588,5.26,2
2015,Fred VanVleet,Wichita State,0.4491,3.261,9
2015,Troy Williams,Indiana,0.4376,4.64,3
2015,Wade Baldwin IV,Vanderbilt,0.4193,5.476,3
2015,Sheldon McClellan,Miami (FL),0.4127,4.976,0
2015,Jaysean Paige,West Virginia,0.3834,4.61,1
2015,Caris LeVert,Michigan,0.3645,4.024,10
2015,Tyler Ulis,Kentucky,0.3615,5.603,3
2015,Marquese Chriss,Washington,0.3102,4.961,6
2015,Taurean Prince,Baylor,0.2994,4.109,10
2015,Denzel Valentine,Michigan State,0.297,7.355,5
2015,Demetrius Jackson,Notre Dame,0.265,4.621,3
2015,Jarrod Uthoff,Iowa,0.2644,6.316,2
2015,Gary Payton II,Oregon State,0.2642,4.526,10
2015,Georges Niang,Iowa State,0.2549,5.176,9
2015,Kevin Punter,Tennessee,0.2202,5.561,0
2015,Wayne Selden Jr.,Kansas,0.2157,4.529,0
2015,Julian Jacobs,Southern California,0.2114,4.007,0
2015,Josh Scott,Colorado,0.2047,4.51,0
2015,Danuel House,Texas A&M,0.2014,3.79,0
2015,Diamond Stone,Maryland,0.1999,4.79,1
2015,Isaiah Taylor,Texas,0.1958,4.505,2
2015,Deyonta Davis,Michigan State,0.1895,4.724,3
2015,Malachi Richardson,Syracuse,0.1851,4.177,3
2015,Patrick McCaw,UNLV,0.1708,4.353,5
2016,Jayson Tatum,Duke,0.9836,6.011,8
2016,Zach Collins,Gonzaga,0.9682,5.95,7
2016,Lauri Markkanen,Arizona,0.9507,5.967,9
2016,OG Anunoby,Indiana,0.9461,4.911,9
2016,Donovan Mitchell,Louisville,0.9423,5.943,9
2016,Malik Monk,Kentucky,0.9291,5.406,9
2016,Lonzo Ball,UCLA,0.9221,7.438,7
2016,Jarrett Allen,Texas,0.9198,5.028,9
2016,Josh Hart,Villanova,0.9139,4.992,9
2016,Derrick White,Colorado,0.9123,6.281,9
2016,Josh Jackson,Kansas,0.9062,5.284,5
2016,John Collins,Wake Forest,0.9051,6.487,9
2016,Bam Adebayo,Kentucky,0.902,5.856,9
2016,De'Anthony Melton,Southern California,0.8987,5.509,7
2016,Markelle Fultz,Washington,0.8731,6.035,8
2016,Dillon Brooks,Oregon,0.8628,4.476,9
2016,Luke Kennard,Duke,0.8507,4.763,9
2016,Dennis Smith Jr.,NC State,0.8403,5.264,7
2016,Derrick Walton Jr.,Michigan,0.8199,6.165,3
2016,De'Aaron Fox,Kentucky,0.8151,5.154,8
2016,Devin Robinson,Florida,0.7757,4.077,2
2016,Cameron Oliver,Nevada,0.7571,3.313,2
2016,Justin Jackson,North Carolina,0.6324,5.092,0
2016,Jamel Artis,Pittsburgh,0.5791,4.985,1
2016,Kyle Kuzma,Utah,0.5551,3.923,9
2016,Monte Morris,Iowa State,0.5418,5.358,0
2016,Luke Kornet,Vanderbilt,0.5225,3.633,9
2016,Isaiah Briscoe,Kentucky,0.4688,4.799,1
2016,Eric Mika,Brigham Young,0.4509,4.294,1
2016,Marquise Moore,George Mason,0.4329,4.745,0
2016,Tyler Lydon,Syracuse,0.3991,5.079,2
2016,D.J. Wilson,Michigan,0.3759,4.308,6
2016,TJ Leaf,UCLA,0.3463,6.097,0
2016,Jawun Evans,Oklahoma State,0.2897,6.092,2
2016,Davon Reed,Miami (FL),0.2735,4.16,4
2016,Semi Ojeleye,SMU,0.2714,5.226,5
2016,Ivan Rabb,California,0.2621,4.817,2
2016,Edmond Sumner,Xavier,0.2615,5.704,5
2016,Jonathan Isaac,Florida State,0.2514,6.096,7
2016,Thomas Bryant,Indiana,0.2262,4.968,9
2016,Tarik Phillip,West Virginia,0.225,4.028,0
2016,Johnathan Motley,Baylor,0.2078,5.01,3
2016,Malcolm Hill,Illinois,0.2018,5.451,2
2016,Michael Young,Pittsburgh,0.1989,5.33,0
2016,Sindarius Thornwell,South Carolina,0.1901,5.273,4
2016,Dylan Ennis,Oregon,0.1884,3.196,0
2016,Tony Bradley,North Carolina,0.1815,4.731,8
2016,PJ Dozier,South Carolina,0.1687,4.69,7
2016,Isaiah Hicks,North Carolina,0.1568,3.689,2
2016,Andrew White III,Syracuse,0.1521,3.764,1
2017,Wendell Carter Jr.,Duke,0.9718,7.011,8
2017,Shai Gilgeous-Alexander,Kentucky,0.9605,6.952,8
2017,Marvin Bagley III,Duke,0.9471,6.322,8
2017,Kevin Huerter,Maryland,0.9464,5.598,8
2017,Deandre Ayton,Arizona,0.939,4.927,8
2017,Donte DiVincenzo,Villanova,0.9346,6.068,8
2017,Khyri Thomas,Creighton,0.8701,4.939,3
2017,Jaren Jackson Jr.,Michigan State,0.8613,6.477,8
2017,Jalen Brunson,Villanova,0.8601,4.815,8
2017,Bruce Brown,Miami (FL),0.857,4.519,8
2017,Zhaire Smith,Texas Tech,0.8481,6.285,2
2017,Elijah Bryant,Brigham Young,0.8381,4.032,1
2017,Trae Young,Oklahoma,0.8351,8.11,8
2017,Tony Carr,Penn State,0.8261,4.668,0
2017,Cameron Johnson,College of Charleston,0.8243,2.029,0
2017,Gary Trent Jr.,Duke,0.7725,5.134,8
2017,Miles Bridges,Michigan State,0.7664,4.877,7
2017,Mikal Bridges,Villanova,0.7583,4.743,8
2017,Devonte' Graham,Kansas,0.6667,5.192,6
2017,Collin Sexton,Alabama,0.6665,4.47,8
2017,Michael Porter Jr.,Missouri,0.5621,5.118,7
2017,Vince Edwards,Purdue,0.5589,4.494,0
2017,Deng Adel,Louisville,0.5501,4.027,1
2017,Jevon Carter,West Virginia,0.5382,5.686,8
2017,Josh Okogie,Georgia Tech,0.5068,5.228,8
